timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-19,1718.0,1729.95,1651.45,1663.65,1663.65,52819,0.0000,1.0
2021-03-18,1657.75,1730.0,1657.75,1718.2,1718.2,48587,0.0000,1.0
2021-03-17,1682.6,1718.75,1671.45,1694.15,1694.15,38550,0.0000,1.0
2021-03-16,1656.0,1700.15,1640.0,1682.6,1682.6,28853,0.0000,1.0
2021-03-15,1689.0,1689.0,1630.2,1656.9,1656.9,43957,0.0000,1.0
2021-03-12,1684.3,1705.15,1659.1,1663.9,1663.9,18532,0.0000,1.0
2021-03-10,1701.0,1707.0,1678.5,1684.1,1684.1,17068,0.0000,1.0
2021-03-09,1707.0,1727.05,1660.0,1689.55,1689.55,22949,0.0000,1.0
2021-03-08,1714.0,1742.0,1695.85,1705.45,1705.45,46480,0.0000,1.0
2021-03-05,1760.1,1787.4,1732.7,1742.3,1742.3,34877,0.0000,1.0
2021-03-04,1749.5,1819.1,1740.0,1798.9,1798.9,49296,0.0000,1.0
2021-03-03,1700.0,1822.0,1700.0,1781.9,1781.9,163046,0.0000,1.0
2021-03-02,1513.4,1698.6,1513.4,1691.9,1691.9,66862,0.0000,1.0
2021-03-01,1615.0,1684.95,1615.0,1674.9,1674.9,79010,0.0000,1.0
2021-02-26,1653.0,1653.95,1608.0,1623.15,1623.15,31442,0.0000,1.0
2021-02-25,1635.0,1669.55,1620.95,1659.5,1659.5,55017,0.0000,1.0
2021-02-24,1542.55,1683.35,1531.25,1612.45,1612.45,392935,0.0000,1.0
2021-02-23,1512.55,1541.0,1506.0,1530.35,1530.35,37442,0.0000,1.0
2021-02-22,1573.9,1573.9,1504.55,1512.55,1512.55,37339,0.0000,1.0
2021-02-19,1604.0,1608.0,1546.5,1564.8,1564.8,46986,0.0000,1.0
2021-02-18,1607.15,1619.8,1579.4,1591.4,1591.4,47225,0.0000,1.0
2021-02-17,1602.15,1657.95,1578.0,1622.65,1622.65,73098,0.0000,1.0
2021-02-16,1639.2,1639.3,1598.0,1612.35,1612.35,39002,0.0000,1.0
2021-02-15,1663.0,1663.0,1633.0,1642.75,1642.75,16978,0.0000,1.0
2021-02-12,1704.0,1704.0,1608.3,1642.45,1642.45,97810,0.0000,1.0
2021-02-11,1647.0,1648.15,1604.45,1627.1,1627.1,35142,0.0000,1.0
2021-02-10,1696.0,1696.0,1614.7,1623.05,1623.05,63659,0.0000,1.0
2021-02-09,1696.0,1709.8,1651.8,1661.55,1661.55,27420,0.0000,1.0
2021-02-08,1681.0,1743.1,1681.0,1695.9,1695.9,88489,0.0000,1.0
2021-02-05,1695.0,1732.3,1668.5,1681.7,1681.7,66296,0.0000,1.0
2021-02-04,1624.0,1681.0,1611.9,1670.8,1670.8,56931,0.0000,1.0
2021-02-03,1650.0,1663.7,1618.3,1621.7,1621.7,41317,0.0000,1.0
2021-02-02,1645.0,1671.0,1598.0,1630.4,1630.4,54415,0.0000,1.0
2021-02-01,1574.0,1659.95,1559.65,1642.5,1642.5,66203,0.0000,1.0
2021-01-29,1560.0,1643.75,1534.55,1545.3,1545.3,214279,0.0000,1.0
2021-01-28,1581.0,1624.0,1561.95,1588.35,1588.35,45313,0.0000,1.0
2021-01-27,1584.4,1627.0,1576.5,1589.3,1589.3,30744,0.0000,1.0
2021-01-25,1689.85,1689.85,1578.2,1587.3,1587.3,36084,0.0000,1.0
2021-01-22,1696.0,1696.0,1635.0,1641.8,1641.8,33199,0.0000,1.0
2021-01-21,1670.0,1726.65,1666.25,1678.7,1678.7,58724,0.0000,1.0
2021-01-20,1673.5,1674.05,1643.0,1665.85,1665.85,20414,0.0000,1.0
2021-01-19,1615.0,1674.9,1600.15,1663.7,1663.7,93653,0.0000,1.0
2021-01-18,1616.0,1624.55,1570.4,1594.2,1594.2,43430,0.0000,1.0
2021-01-15,1655.0,1663.0,1621.0,1631.1,1631.1,21184,0.0000,1.0
2021-01-14,1635.0,1668.0,1620.3,1657.65,1657.65,45885,0.0000,1.0
2021-01-13,1696.9,1696.9,1622.0,1634.3,1634.3,61667,0.0000,1.0
2021-01-12,1703.0,1726.8,1676.3,1680.0,1680.0,40313,0.0000,1.0
2021-01-11,1750.0,1750.0,1694.0,1701.2,1701.2,26906,0.0000,1.0
2021-01-08,1770.0,1777.15,1723.0,1731.25,1731.25,59472,0.0000,1.0
2021-01-07,1737.0,1778.35,1736.0,1761.1,1761.1,62964,0.0000,1.0
2021-01-06,1744.0,1744.0,1710.0,1730.85,1730.85,35050,0.0000,1.0
2021-01-05,1748.4,1748.4,1703.75,1713.25,1713.25,37616,0.0000,1.0
