timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-03-19,1988.3,2095.0,1981.2,2081.8999,2081.8999,729355,0.0000,1.0
2021-03-18,2071.1001,2085.0,2001.0,2009.5,2009.5,975274,0.0000,1.0
2021-03-17,2100.0,2103.75,2035.35,2055.1499,2055.1499,243197,0.0000,1.0
2021-03-16,2114.8,2125.8,2096.05,2100.45,2100.45,223111,0.0000,1.0
2021-03-15,2138.6499,2148.8,2080.8999,2108.75,2108.75,513109,0.0000,1.0
2021-03-12,2199.0,2205.0,2123.6499,2138.6499,2138.6499,298281,0.0000,1.0
2021-03-10,2211.0,2215.75,2170.1499,2181.7,2181.7,249199,0.0000,1.0
2021-03-09,2200.0,2214.7,2146.2,2190.2,2190.2,312285,0.0000,1.0
2021-03-08,2171.5,2231.0,2169.45,2190.45,2190.45,375048,0.0000,1.0
2021-03-05,2168.0,2212.5,2155.0,2178.55,2178.55,430447,0.0000,1.0
2021-03-04,2179.7,2189.6499,2158.0,2175.7,2175.7,1316695,0.0000,1.0
2021-03-03,2121.7,2220.0,2107.2,2201.3501,2201.3501,1101111,0.0000,1.0
2021-03-02,2124.0,2130.0,2089.25,2106.2,2106.2,269778,0.0000,1.0
2021-03-01,2114.45,2114.45,2063.2,2101.1499,2101.1499,366701,0.0000,1.0
2021-02-26,2109.0,2133.3999,2070.1499,2083.8501,2083.8501,902603,0.0000,1.0
2021-02-25,2078.0,2152.25,2071.0,2144.8501,2144.8501,2401302,0.0000,1.0
2021-02-24,2025.8,2081.5,2000.55,2059.8,2059.8,1580648,0.0000,1.0
2021-02-23,2028.0,2053.1001,2013.8,2024.25,2024.25,420916,0.0000,1.0
2021-02-22,2080.0,2089.7,1995.1,2007.4,2007.4,649015,0.0000,1.0
2021-02-19,2065.0,2104.95,2058.0,2080.55,2080.55,398673,0.0000,1.0
2021-02-18,2085.75,2107.7,2059.7,2065.5,2065.5,298538,0.0000,1.0
2021-02-17,2058.0,2095.0,2050.8501,2082.75,2082.75,692483,0.0000,1.0
2021-02-16,2040.0,2079.0,2037.5,2059.6499,2059.6499,361465,0.0000,1.0
2021-02-15,2049.0,2060.55,2025.4,2032.6,2032.6,325784,0.0000,1.0
2021-02-12,2059.7,2077.5,2015.55,2041.25,2041.25,640628,0.0000,1.0
2021-02-11,1977.45,2062.2,1971.2,2055.55,2055.55,1942646,0.0000,1.0
2021-02-10,1957.7,1983.95,1928.0,1975.25,1975.25,470988,0.0000,1.0
2021-02-09,1967.7,1990.0,1952.0,1955.95,1955.95,602162,0.0000,1.0
2021-02-08,1931.2,1968.25,1929.05,1951.5,1951.5,702232,0.0000,1.0
2021-02-05,1933.0,1944.2,1920.0,1924.0,1924.0,322014,0.0000,1.0
2021-02-04,1921.0,1939.7,1905.05,1923.95,1923.95,1619015,0.0000,1.0
2021-02-03,1927.0,1951.0,1900.0,1930.3,1930.3,921546,0.0000,1.0
2021-02-02,1915.7,1938.3,1855.0,1926.45,1926.45,1088933,0.0000,1.0
2021-02-01,1845.2,1904.7,1845.2,1895.35,1895.35,818509,0.0000,1.0
2021-01-29,1896.7,1911.75,1830.0,1843.15,1843.15,926815,0.0000,1.0
2021-01-28,1879.0,1923.35,1870.15,1876.6,1876.6,2069380,0.0000,1.0
2021-01-27,1930.2,1930.2,1888.0,1895.25,1895.25,1740178,0.0000,1.0
2021-01-25,2052.0,2052.0,1932.2,1939.7,1939.7,1345520,0.0000,1.0
2021-01-22,2114.8,2115.8999,2035.2,2049.6499,2049.6499,507943,0.0000,1.0
2021-01-21,2082.0,2119.8,2075.0,2097.8501,2097.8501,1545088,0.0000,1.0
